job_title,company_name,location,job_type,experience_level,education_req,salary_range,job_requirements,job_responsibilities,industries,job_function,applicant_count,posted_date,source_platform,source_url,scraped_at
Process Development Internship,Kalbe Nutritionals (PT Sanghiang Perkasa),Jakarta Timur,,Magang,,Tidak Dicantumkan,Requirements Kualifikasi Siswa dari SMK Jurusan Analisa Kimia Mahasiswa minimal semester 6 yang sedang dalam terbuka untuk mengikuti Program Magang Memahami proses uji sampel makanan di laboratorium Teliti dan memiliki analisa masalah yang baik Bersedia mengikuti program Magang selama 6 bulan. Periode Program Magang dari bulan Maret - September 2026 Show more Show less,Responsibilities Aktifitas Pembelajaran: Membantu persiapan uji sampel produk di laboratorium Menyiapkan sampel bahan baku uji produk Mengumpulkan data hasill uji laboratorium Membantu proses ujicoba produk skala lab Requirements Kualifikasi Siswa dari SMK Jurusan Analisa Kimia Mahasiswa minimal semester 6 yang sedang dalam terbuka untuk mengikuti Program Magang Memahami proses uji sampel makanan di laboratorium Teliti dan memiliki analisa masalah yang baik Bersedia mengikuti program Magang selama 6 bulan. Periode Program Magang dari bulan Maret - September 2026 Show more Show less,Jasa Penyedia Makanan dan Minuman,"Manajemen, Manufaktur",73,2026-03-02,LinkedIn,https://id.linkedin.com/jobs/view/process-development-internship-at-kalbe-nutritionals-pt-sanghiang-perkasa-4377766183,2026-03-04 18:50:27
Business Finance & Analytics Officer,PT. Sarimelati Kencana Tbk.,"Jakarta Raya, Indonesia",,Senior tingkat menengah,,Tidak Dicantumkan,"Requirements: Min S1/ Bachelor's degree in Finance, Accounting, Business, or related field. Strong analytical with attention to detail. Proficiency in budgeting, financial modeling and data analysis. Knowledge of accounting principles and financial reporting. Excellent communication and presentation skills. Advanced proficiency in Microsoft Excel and other relevant financial software. Experience in creating dashboards with Google Data Studio/Looker is preferable. Show more Show less","Responsibilities: Financial Analysis: provide comprehensive financial analysis to identify trends, variances, and areas for improvement. Budgeting and Forecasting: assist in the crafting and monitoring of budgets and financial forecasts. Reporting: prepare and present clear and concise financial reports for management and stakeholders. Cost Management: analyze costs and expenses, identifying opportunities for cost savings and efficiency improvements. Financial Planning: work cross-functionally to support the execution of financial plans. Data Management: gather, maintain and analyze financial data from various sources, ensuring accuracy and completeness. Month-end closing: assist in month end closing activities related to budget and FP&A. Requirements: Min S1/ Bachelor's degree in Finance,","Restoran, Jasa Keuangan","Keuangan, Analis, Akuntansi/Audit",,2026-02-11,LinkedIn,https://id.linkedin.com/jobs/view/business-finance-analytics-officer-at-pt-sarimelati-kencana-tbk-4371106829,2026-03-04 18:50:33
Auditor,PT Bank Mandiri (Persero) Tbk.,"Jakarta Raya, Indonesia",,Senior tingkat menengah,,Tidak Dicantumkan,Requirements Pendidikan minimal S1/setara. Pengalaman minimal 4 tahun sebagai Auditor di Banking Industry. Memiliki pengetahuan terkait produk kredit. Show more Show less,tugas dan standar profesi. Melaksanakan penugasan adhoc yang diberikan oleh Audit Manager. Requirements Pendidikan minimal S1/setara. Pengalaman minimal 4 tahun sebagai Auditor di Banking Industry. Memiliki pengetahuan terkait produk kredit. Show more Show less,Perbankan,Akuntansi/Audit,,2026-02-23,LinkedIn,https://id.linkedin.com/jobs/view/auditor-at-pt-bank-mandiri-persero-tbk-4375399822,2026-03-04 18:50:37
Staff-Collection & Reconcile HBB,PT. Indosat Tbk,"Jakarta Raya, Indonesia",,Senior tingkat menengah,,Tidak Dicantumkan,"Qualification Proven experience as Collection and Payment specialist or similar role Knowledge of billing procedures and collection techniques (e.g. skip tracing) Familiarity with laws related to debt collection (e.g. FDCPA) Working knowledge of MS Office and databases Comfortable working with targets Patience and ability to manage stress Ability to think strategically and to lead Related Experience At least 3 years' experience as a collection expert, or a similar customer support role. Proven track record of managing all aspects of a successful product throughout its lifecycle Proven ability to solve issue on billing and payment Background in collection and payments activities Strong problem solving skills and willingness to roll up one's sleeves to get the job Skilled at working effectiv","Responsibilities: Collection & Reconcile Management HBB To do collection for all outstanding customers Payment reminders for all HBB Customers Process payments, refunds and adjustment Problem resolution for billing and customer credit issues Problem resolution for customer payment issue Report on collection activity and accounts receivable status Change Payment Method in Siebel Register or unregister for auto debit customers Dunning monitoring to ensure that all dunning process run well Payment Reconciliation with Payment Partners including coordinate with related stakeholders if data not completed. Support for additional payment point Qualification Proven experience as Collection and Payment specialist or similar role Knowledge of billing procedures and collection techniques (e.g. skip tr",Telekomunikasi,"Akuntansi/Audit, Keuangan",,2026-02-25,LinkedIn,https://id.linkedin.com/jobs/view/staff-collection-reconcile-hbb-at-pt-indosat-tbk-4377553265,2026-03-04 18:50:42
"Data Analyst, Business Intelligence",Shopee,"Jakarta Raya, Indonesia",,Tingkat pemula,,Tidak Dicantumkan,"Requirements Master's or Bachelor's degree in quantitative fields or a relevant field of study Experience working with one or more language for querying (e.g. SQL) Familiarity working with BI tools (e.g Tableau, PowerBI, Looker) strongly preferred Familiarity with advanced analytics languages like Python or R will be an advantage Experience working with multiple stakeholders across various divisions Ability to converse in English and Bahasa Indonesia to communicate with internal stakeholders Exceptional interpersonal skills Self-starter with a can-do attitude Show more Show less","Job Description Assist the various business units as a discussion partner to plan, strategise, and grow Shopee's business by enabling data-driven decision-making Serve as in-consultant who simplifies complex terminologies into more understandable insights to internal stakeholders Collect, clean, and analyze large data sets to support business decisions Develop and deploy dashboards to monitor key metrics. Conduct ad-hoc analysis to support decision-making and special projects Requirements Master","Platform Marketplace Internet, Teknologi, Informasi, dan Internet","Strategi/Perencanaan, Analis, Konsultasi",,2026-03-02,LinkedIn,https://id.linkedin.com/jobs/view/data-analyst-business-intelligence-at-shopee-3611204797,2026-03-04 18:50:48
Finance Accounting,LG Sinar Mas,Area DKI Jakarta,,Asosiasi,,Tidak Dicantumkan,"Qualifications Bachelor’s degree in accounting from a reputable university Minimum 2 years of experience in finance or accounting roles Experience in Big Four accounting firms is an advantage Fluent in English, both written and verbal, is a must Good understanding of basic accounting principles and financial processes Proficient in Microsoft Excel and familiar with accounting software Detail oriented, well organized, and disciplined Strong attention to detail and numerical accuracy Show more Show less","Responsibilities Manage and verify supplier invoices to ensure accuracy and compliance Prepare and process payments to customers and vendors in a timely manner Record daily financial transactions related to operational activities Monitor accounts payable and accounts receivable Assist in month-end and year-end closing activities Maintain accurate and well documented financial records Support internal financial reporting and reconciliation tasks Coordinate with internal teams and external parties Qualifications Bachelor’s degree in accounting from a reputable university Minimum 2 years of experience in finance or accounting roles Experience in Big Four accounting firms is an advantage Fluent in English, both written and verbal, is a must Good understanding of basic accounting principles and","Jasa TI dan Konsultan TI, Konsultan dan Jasa Bisnis",Keuangan,,2026-02-24,LinkedIn,https://id.linkedin.com/jobs/view/finance-accounting-at-lg-sinar-mas-4376033406,2026-03-04 18:50:53
Business Analyst,OTO,Jakarta Barat,,Senior tingkat menengah,,Tidak Dicantumkan,"Requirements: Bachelor's Degree in Engineering, Finance, Economics, or related field is required Having experience working in a consulting firm or a similar field is a plus Prior experience working as a Business Analyst / Consultant or related role (3-5 years) Proficient in MS Excel, SQL and Data Visualization Tools such as Tableau and Python Strong analytical and problem-solving skills Excellent written and verbal communication skills (English & Bahasa) Ability to work independently and in a team environment Experience in the automotive industry is a plus Knowledge of statistical analysis, data mining, and machine learning is a plus Show more Show less","Responsibilities: Responsible for collecting, analyzing and interpreting data, and creating reports that can be used to inform the overall business strategy. You will work with various teams to identify trends, patterns, and opportunities, and provide insights on key metrics. You will be responsible for communicating findings to stakeholders and aligning data-driven strategy. Requirements: Bachelor's Degree in Engineering, Finance, Economics, or related field is required Having experience working in a consulting firm or a similar field is a plus Prior experience working as a Business Analyst / Consultant or related role (3-5 years) Proficient in MS Excel, SQL and Data Visualization Tools such as Tableau and Python Strong analytical and problem-solving skills Excellent written and verbal co","Manufaktur Kendaraan Bermotor, Jasa Keuangan","Analis, Manajemen Proyek, Bisnis Umum",,2026-03-03,LinkedIn,https://id.linkedin.com/jobs/view/business-analyst-at-oto-4379165743,2026-03-04 18:50:59
Sales & Financial Business Analyst,PT Bank Sinarmas Tbk,Jakarta Barat,,Asosiasi,,Tidak Dicantumkan,"Requirements Pendidikan min. S1 Finance / Akuntansi / Manajemen. Memiliki pengalaman 2-3 tahun dibidang Akuntansi / Finance & Perbankan Memiliki pengetahuan mengenai Operasional Perbankan, Product Perbankan, System Perbankan, serta Finance & Accounting. Memiliki pengetahuan & mampu mengerjakan laporan Profit and Loss. Memiliki kemampuan dalam mengerjakan Financial Modelling Scope of Work Mengumpulkan dan memvalidasi data yang diterima dari unit kerja lain untuk perhitungan KPI Financial. Melakukan analisis dan membuat laporan hasil perhitungan KPI Financial kepada unit kerja terkait. Menganalisis data penjualan dan membuat laporan profitabilitas sales untuk dikirimkan kepada manajemen dan stakeholder lainnya. Menerima dan menganalisis kelayakan proposal dari Unit Bisnis untuk memberikan re","Requirements Pendidikan min. S1 Finance / Akuntansi / Manajemen. Memiliki pengalaman 2-3 tahun dibidang Akuntansi / Finance & Perbankan Memiliki pengetahuan mengenai Operasional Perbankan, Product Perbankan, System Perbankan, serta Finance & Accounting. Memiliki pengetahuan & mampu mengerjakan laporan Profit and Loss. Memiliki kemampuan dalam mengerjakan Financial Modelling Scope of Work Mengumpulkan dan memvalidasi data yang diterima dari unit kerja lain untuk perhitungan KPI Financial. Melakuk",Perbankan,"Akuntansi/Audit, Keuangan, Analis",,2026-02-20,LinkedIn,https://id.linkedin.com/jobs/view/sales-financial-business-analyst-at-pt-bank-sinarmas-tbk-4374354947,2026-03-04 18:51:05
Experience Transformation Analyst,PT. Indosat Tbk,"Jakarta Raya, Indonesia",,Senior tingkat menengah,,Tidak Dicantumkan,"Requirements: Bachelor’s degree in business administration, Marketing, Communication, Statistics, Information Systems, engineering, or a related field. Minimum 2 years of hands-on experience in roles related to customer experience (CX), journey analysis, or business/data analysis, preferably in a B2C/B2B environment (e.g., telco, e-commerce, banking, retail). Proven track record in supporting customer journey initiatives, data reporting, or improvement projects involving customer touchpoints. Good understanding of B2C/B2B customer journeys, including both: Digital channels and Offline channels Able to link customer pain points or feedback to specific steps in the journey for further action. Show more Show less","Responsibilities: Document and update end-to-end customer journeys across digital and physical touchpoints. Validate journey steps using real customer behavior and feedback. Identify pain points and improvement areas along the customer lifecycle by performing on the field benchmarking Support the implementation of journey improvements or feature rollouts. Coordinate follow-up on action items from CX reviews and internal discussions. Track the effectiveness of changes implemented. Compile and analyse feedback from surveys, NPS, CSAT, complaints, and service interactions. Link feedback to specific online/offline journey stages. Prioritize issues based on impact and frequency. Prepare materials and notes for internal meetings. Ensure action ownership and timely execution Research trends and b","Telekomunikasi, Platform Marketplace Internet, Perbankan","Pengembangan Bisnis, Riset, Pemasaran",,2026-02-10,LinkedIn,https://id.linkedin.com/jobs/view/experience-transformation-analyst-at-pt-indosat-tbk-4370630014,2026-03-04 18:51:11
Consumer Insights & Marketing Intelligence Staff - Jakarta,Lemonilo,"Jakarta Raya, Indonesia",,Tingkat pemula,,Tidak Dicantumkan,"As a Marketing Team , you will be responsible for managing end-to-end in-house and external research projects, serving as the PIC for assigned brands, and overseeing budget, reporting, and CI database management, while reporting to the Consumer Insight Junior Manager and collaborating with cross-functional teams. What will you do? Responsible for managing end-to-end in-house research projects (including NPS, impact surveys, IDI, FGD, etc.), from planning, budgeting, managing external field teams","As a Marketing Team , you will be responsible for managing end-to-end in-house and external research projects, serving as the PIC for assigned brands, and overseeing budget, reporting, and CI database management, while reporting to the Consumer Insight Junior Manager and collaborating with cross-functional teams. What will you do? Responsible for managing end-to-end in-house research projects (including NPS, impact surveys, IDI, FGD, etc.), from planning, budgeting, managing external field teams","Jasa Kesejahteraan dan Kebugaran, Manufaktur Makanan dan Minuman","Analis, Pemasaran, Riset",,2026-02-25,LinkedIn,https://id.linkedin.com/jobs/view/consumer-insights-marketing-intelligence-staff-jakarta-at-lemonilo-4376725643,2026-03-04 18:51:16
Operations Analytics Associate,Grab,Area DKI Jakarta,,Asosiasi,,Tidak Dicantumkan,"Qualifications What Essential Skills You Will Need Minimum of 3 years of experience in business intelligence, data science, or data analytics. Bachelor's degree in Computer Science or a related field Proficient in advanced SQL, Python, Power BI, and other relevant dashboard or automation tools. Capability to break down complex problems into data-driven, applicable solutions. Additional Information Life at Grab We care about your well-being at Grab, here are some of the global benefits we offer: We have your back with Term Life Insurance and comprehensive Medical Insurance. With GrabFlex, create a benefits package that suits your needs and aspirations. Celebrate moments that matter in life with loved ones through Parental and Birthday leave, and give back to your communities through Love-al","Company Description About Grab and Our Workplace Grab is Southeast Asia's leading superapp. From getting your favourite meals delivered to helping you manage your finances and getting around town hassle-free, we've got your back with everything. In Grab, purpose gives us joy and habits build excellence, while harnessing the power of Technology and AI to deliver the mission of driving Southeast Asia forward by economically empowering everyone, with heart, hunger, honour, and humility. Job Descrip",Pengembangan Perangkat Lunak,Analis,,2026-02-19,LinkedIn,https://id.linkedin.com/jobs/view/operations-analytics-associate-at-grab-4373699018,2026-03-04 18:51:23
Data Management Specialist,OCBC Indonesia,"Jakarta Raya, Indonesia",,Senior tingkat menengah,,Tidak Dicantumkan,"Join Us in Strengthening Data Excellence at Bank OCBC Indonesia At Bank OCBC Indonesia, we believe that the quality of our data shapes the quality of our decisions. That’s why we’re committed to building a strong foundation in Data Governance and Data Management and we’re looking for passionate professionals to join our journey. In this role, you’ll be part of the Risk Management Group, working closely with cross-functional teams and senior stakeholders to improve how we manage, govern, and prot","Join Us in Strengthening Data Excellence at Bank OCBC Indonesia At Bank OCBC Indonesia, we believe that the quality of our data shapes the quality of our decisions. That’s why we’re committed to building a strong foundation in Data Governance and Data Management and we’re looking for passionate professionals to join our journey. In this role, you’ll be part of the Risk Management Group, working closely with cross-functional teams and senior stakeholders to improve how we manage, govern, and prot",Perbankan,Teknologi Informasi,,2026-03-03,LinkedIn,https://id.linkedin.com/jobs/view/data-management-specialist-at-ocbc-indonesia-4368205528,2026-03-04 18:51:29
Business Support Analyst - DPA,PT Astra International Tbk,Jakarta,,Tingkat pemula,,Tidak Dicantumkan,"Persyaratan Pendidikan minimal S1 dari semua jurusan, diutamakan jurusan yang berkaitan dengan Manajemen, Keuangan, atau bidang relevan lainnya. Fresh graduate dengan pengalaman internship dipersilakan melamar, atau memiliki pengalaman kerja maksimal 2 tahun sebagai Business Analyst atau posisi terkait. Memiliki kemampuan analisis dan pemecahan masalah yang baik serta mampu mengolah data menjadi rekomendasi yang dapat ditindaklanjuti. Memiliki kemampuan komunikasi yang baik, kolaboratif, dan berpikir analitis. Cepat belajar serta mampu beradaptasi dengan baik terhadap perubahan. Show more Show less","tanggung jawab dalam memastikan proses bisnis perusahaan berjalan efektif melalui analisis dan kolaborasi lintas fungsi/ department. Persyaratan Pendidikan minimal S1 dari semua jurusan, diutamakan jurusan yang berkaitan dengan Manajemen, Keuangan, atau bidang relevan lainnya. Fresh graduate dengan pengalaman internship dipersilakan melamar, atau memiliki pengalaman kerja maksimal 2 tahun sebagai Business Analyst atau posisi terkait. Memiliki kemampuan analisis dan pemecahan masalah yang baik serta mampu mengolah data menjadi rekomendasi yang dapat ditindaklanjuti. Memiliki kemampuan komunikasi yang baik, kolaboratif, dan berpikir analitis. Cepat belajar serta mampu beradaptasi dengan baik terhadap perubahan. Show more Show less",Manufaktur Mesin Automasi,Teknologi Informasi,,2026-02-11,LinkedIn,https://id.linkedin.com/jobs/view/business-support-analyst-dpa-at-pt-astra-international-tbk-4371202412,2026-03-04 18:51:34
Marketing Staff,Kopi Kenangan,Jakarta Selatan,,Tingkat pemula,,Tidak Dicantumkan,"At Kenangan Botol , our growth moves fast—and our administration needs to move faster. We are seeking a Marketing Staff member who prides themselves on being detail-oriented and exceptionally organized . This role is for the coordinator who loves the ""how"" as much as the ""what."" From raising POs and tracking budgets to managing the daily operational hustle of logistics and internal support, you will be the backbone of our marketing execution . Ideal Candidate Profile: Bachelor’s degree in Commun","At Kenangan Botol , our growth moves fast—and our administration needs to move faster. We are seeking a Marketing Staff member who prides themselves on being detail-oriented and exceptionally organized . This role is for the coordinator who loves the ""how"" as much as the ""what."" From raising POs and tracking budgets to managing the daily operational hustle of logistics and internal support, you will be the backbone of our marketing execution . Ideal Candidate Profile: Bachelor’s degree in Commun","Ritel Makanan dan Minuman, Grosir Makanan dan Minuman, Jasa Penyedia Makanan dan Minuman",Pemasaran,,2026-02-12,LinkedIn,https://id.linkedin.com/jobs/view/marketing-staff-at-kopi-kenangan-4371382067,2026-03-04 18:51:40
Quality & Process Improvement Specialist,OCBC Indonesia,Kota Tangerang,,Senior tingkat menengah,,Tidak Dicantumkan,"Are you passionate about driving quality, efficiency, and innovation in banking operations? Join OCBC as a Quality & Process Improvement Specialist and play a key role in transforming our processes to enhance business impact and customer experience. What You’ll Do: Lead quality improvement initiatives, ensuring continuous and effective implementation of quality processes. Work on projects from planning to post-implementation, identifying process gaps, recommending improvements, and ensuring alig","Are you passionate about driving quality, efficiency, and innovation in banking operations? Join OCBC as a Quality & Process Improvement Specialist and play a key role in transforming our processes to enhance business impact and customer experience. What You’ll Do: Lead quality improvement initiatives, ensuring continuous and effective implementation of quality processes. Work on projects from planning to post-implementation, identifying process gaps, recommending improvements, and ensuring alig","Jasa Keuangan, Perbankan, Teknologi, Informasi, dan Internet","Jaminan Kualitas, Manajemen Proyek",,2026-03-02,LinkedIn,https://id.linkedin.com/jobs/view/quality-process-improvement-specialist-at-ocbc-indonesia-4378466988,2026-03-04 18:51:46
Business Intelligence Analyst,"PT. Summarecon Agung, Tbk.",Kelapa Gading,,Senior tingkat menengah,,Tidak Dicantumkan,"Qualification: Minimum Bachelor’s Degree (S1) in a relevant field (Mathematics, Statistics, Finance, Accounting, Business, Engineering, or equivalent). Minimum 5 years of experience as a Business Analyst or in a similar role. Strong data analysis and problem-solving skills. Proven experience in leading teams and managing as well as developing team members. Proficient in data processing using Microsoft Excel and data visualization tools (Power BI, Tableau, or similar platforms). Solid understanding of KPI frameworks and business performance analysis; knowledge of the mall industry is an advantage. Job Description: Lead the processing and evaluation of Business Mall KPIs, particularly related to tenancy management, and provide solution recommendations to improve performance. Develop and enha","Qualification: Minimum Bachelor’s Degree (S1) in a relevant field (Mathematics, Statistics, Finance, Accounting, Business, Engineering, or equivalent). Minimum 5 years of experience as a Business Analyst or in a similar role. Strong data analysis and problem-solving skills. Proven experience in leading teams and managing as well as developing team members. Proficient in data processing using Microsoft Excel and data visualization tools (Power BI, Tableau, or similar platforms). Solid understandi","Real Estat, Ritel",Analis,133,2026-03-04,LinkedIn,https://id.linkedin.com/jobs/view/business-intelligence-analyst-at-pt-summarecon-agung-tbk-4379635989,2026-03-04 18:51:50
Finance Business Partner,PT Lion Super Indo,Jakarta Selatan,,Senior tingkat menengah,,Tidak Dicantumkan,"REQUIREMENTS Bachelor’s degree in Finance, Accounting, or a related field; with Chartered Accountant (CA), Certified Public Accountant (CPA), or equivalent professional certification is preferred. Minimum 8-10 years of experience in finance, with a background in audit firms (Big 4 or similar) and corporate environments, preferably in a multinational setup. Experience in financial planning & analysis (FP&A), operational finance, or business partnering within retail, logistics, or supply chain industries. Strong analytical and problem-solving skills with the ability to translate financial data into operational insights. Excellent communication and stakeholder management skills to influence cross-functional teams. Proficiency in financial modeling, budgeting tools, and ERP systems. Show more","RESPONSIBILITIES Finance Business Partner plays a key part in managing and analyzing the financial performance of the business, with a focus on commercial activities, cost management, budgeting, and financial forecasting. As a trusted advisor, you will work closely with the commercial teams to ensure the achievement of financial and non-financial results in line with the strategic business objectives and the company’s growth plans. This position provides financial insights to support operational decision-making, process improvements, and risk mitigation. REQUIREMENTS Bachelor’s degree in Finance, Accounting, or a related field; with Chartered Accountant (CA), Certified Public Accountant (CPA), or equivalent professional certification is preferred. Minimum 8-10 years of experience in financ","Ritel, Manufaktur Makanan dan Minuman",Keuangan,,2026-02-23,LinkedIn,https://id.linkedin.com/jobs/view/finance-business-partner-at-pt-lion-super-indo-4374625539,2026-03-04 18:51:55
Finance Fresh Graduates,"PT. Lippo Karawaci, Tbk",Kecamatan Karawaci,,Tingkat pemula,,Tidak Dicantumkan,"Qualifications: Bachelor’s degree in Finance, Accounting, Economics or Business Fresh graduate or up to 1–2 years of experience in finance-related roles Strong analytical and logical thinking skills Proficient in Excel; financial modeling exposure is a plus Basic understanding of financial statements and business fundamentals Good communication skills and willingness to learn in a dynamic environment Detail-oriented, proactive, and able to work with multiple stakeholders Show more Show less","Responsibilities: Support financial analysis, budgeting, forecasting, and performance monitoring Prepare financial models, reports, and management presentations Analyze financial data to support business, commercial, and strategic decisions Assist in cost analysis, profitability review, and variance analysis Collaborate with cross-functional teams (business, operations, and management) Support ad-hoc financial, commercial, or corporate initiatives at holding level Qualifications: Bachelor’s degree in Finance, Accounting, Economics or Business Fresh graduate or up to 1–2 years of experience in finance-related roles Strong analytical and logical thinking skills Proficient in Excel; financial modeling exposure is a plus Basic understanding of financial statements and business fundamentals Goo",Perusahaan Induk,Keuangan,,2026-02-26,LinkedIn,https://id.linkedin.com/jobs/view/finance-fresh-graduates-at-pt-lippo-karawaci-tbk-4376987029,2026-03-04 18:52:01
Business Data Analytics Lead,Amar Bank,Jakarta,,Tidak Berlaku,,Tidak Dicantumkan,"Requirements Experience Minimum 7 years of experience in data analysis, analytics, or business intelligence roles Proven experience leading, reviewing, or owning analyses used in high-impact business decisions Experience in banking, financial services, lending, risk, or other regulated environments is strongly preferred Technical & Analytical Skills Advanced SQL proficiency (BigQuery or equivalent) Strong understanding of data modeling concepts and analytical best practices Ability to identify analytical bias, data leakage, invalid comparisons, and misinterpretation risks Capable of critically reviewing analysis without reliance on owning data infrastructure or pipelines Leadership & Behavioral Competencies Demonstrated ability to manage stakeholder expectations and push back with calm aut","Responsibilities Analytical Leadership & Ownership Act as the primary authority for analyses used in management, executive, and regulatory decision-making Ensure every analysis has clear ownership, decision context, documented assumptions, and known limitations Build and enforce an ownership mindset where analysts are accountable for the impact and interpretation of their insights Expectation Management & Stakeholder Leadership Manage expectations of business users and leadership on what data can reliably answer, including scope, precision, and timelines Reframe ambiguous or high-risk requests into defensible analytical questions Provide clear pushback, alternatives, or mitigations when requests cannot be safely fulfilled Analytical Risk Mitigation Identify and mitigate risks related to mi",Perbankan,"Pengembangan Bisnis, Penjualan",67,2026-03-03,LinkedIn,https://id.linkedin.com/jobs/view/business-data-analytics-lead-at-amar-bank-4380383023,2026-03-04 18:52:05
Data Management Analyst,PT. Permodalan Nasional Madani (Persero),Jakarta Selatan,,Asosiasi,,Tidak Dicantumkan,"Requirements: 1. Gelar Sarjana atau Magister di bidang yang relevan seperti Ilmu Komputer, Teknologi Informasi, Manajemen Informasi, atau Statistik. 2. Pengalaman minimal 2–3 tahun dalam Tata Kelola Data, Manajemen Database, Analisis Data, atau peran terkait. 3. Memahami framework DAMA DMBOK (Data Management Body of Knowledge) 4. Pengalaman dengan alat Tata Kelola Data dan Platform Manajemen Data seperti Collibra, Informatica, IBM InfoSphere, dll. 5. Pengalaman dalam mengimplementasikan Kebijakan dan Prosedur Keamanan Data. 6. Kuat dalam SQL dan penggunaan database seperti Oracle, MySQL, Microsoft SQL Server. 7. Familiar dengan perangkat lunak Analisis Data seperti R atau Python. 8. Pemahaman yang baik tentang regulasi perlindungan data (misalnya GDPR, CCPA) dan standar keamanan informasi","tugas dan jadwal kerja dalam lingkungan yang serba cepat. 13. Analitis dan memiliki kemampuan pemecahan masalah yang kuat. 14. Motivasi tinggi, inisiatif sendiri, dan kemampuan adaptasi. Job Description: 1. Menyusun rencana kerja dan anggaran Bagian Tata Kelola Data dalam rangka mencapai target Divisi Enterprise Information System. 2. Melaksanakan penyusunan dan pembaruan kebijakan Tata Kelola Data (Data Governance) dan Enterprise Information System sesuai dengan kebijakan dan peraturan yang berlaku. 3. Melaksanakan penyusunan arsitektur data dan struktur Tata Kelola Data di Perusahaan. 4. Melaksanakan sosialisasi dan monitoring terkait implementasi kebijakan Tata Kelola Data (Data Governance) dan Enterprise Information System. 5. Melaksanakan fungsi identifikasi dan penyelesaian masalah T",Jasa Keuangan,Pengembangan Bisnis,,2026-02-06,LinkedIn,https://id.linkedin.com/jobs/view/data-management-analyst-at-pt-permodalan-nasional-madani-persero-4369348200,2026-03-04 18:52:11
SAMPOERNA ACADEMY - CAMPUS PRINCIPAL (ELC-G3) SURABAYA PI,Sampoerna Academy,Surabaya,,Senior tingkat menengah,,Tidak Dicantumkan,"qualification. Our environment was created to encourage a culture of innovation and collaboration. Moreover, our integration of communication, multiple language proficiency, and collaboration in team projects set us apart from most other schools in ASEAN. Vision Sampoerna Academy graduates will assume leadership roles in a global society by being creative, passionate, life-long learners who are able to meet the challenges of a rapidly changing world and who care deeply for their fellow men and the environment. Mission The mission of Sampoerna Academy is to provide a safe, caring, and collaborative learning environment that is of the highest quality and meets global expectations for student achievement and character development. Our educational foundation is student-centered with a strong e","Responsibilities: Instructional Leadership: Serve as the Instructional Leader of the school. Establish and promote high standards and expectations for all students and staff for academic performance and responsible behaviour. Develop, implement, and assess the instructional programs at the assigned school in coordination with headquarters in program planning. Academic Supervision: Supervise the instructional programs by evaluating lesson plans and observing classes regularly. Encourage the use of diverse instructional strategies and materials consistent with research on learning and child development. Monitor student learning progress and create data-driven intervention programs. School Environment: Foster a conducive teaching and learning environment for students and staff. Develop positi","Pengembangan Perangkat Lunak, Jasa TI dan Konsultan TI","Pelatihan, Pendidikan",,2026-03-04,LinkedIn,https://id.linkedin.com/jobs/view/sampoerna-academy-campus-principal-elc-g3-surabaya-pi-at-sampoerna-academy-4378559806,2026-03-04 18:52:20
CS & Document Staff,Meratus Group,Surabaya dan Sekitarnya,,Tingkat pemula,,Tidak Dicantumkan,"requirements. Monitor vessel departures and arrivals to ensure timely handling of shipments. Input job entries and shipment data into the logistics system. Prepare and distribute shipping documents (e.g., delivery orders, B/L, PoD) accurately and on time. Create and submit invoices and tax documents to Finance with all required attachments. Follow up on the return of original shipping documents for billing purposes. Handle customer complaints and coordinate resolutions with relevant departments. Prepare and submit regular reports to customers and internal stakeholders. Support continuous process improvements and team training activities. Requirements Bachelors degree in Logistics, Business, or a related field. Prior experience in Customer Service, Documentation, or related administrative r","Responsibilities Manage bookings and coordinate shipping schedules with customers and internal teams. Receive and process shipment orders from customers, sales, and branches. Communicate proactively with customers regarding shipment status and requirements. Monitor vessel departures and arrivals to ensure timely handling of shipments. Input job entries and shipment data into the logistics system. Prepare and distribute shipping documents (e.g., delivery orders, B/L, PoD) accurately and on time. Create and submit invoices and tax documents to Finance with all required attachments. Follow up on the return of original shipping documents for billing purposes. Handle customer complaints and coordinate resolutions with relevant departments. Prepare and submit regular reports to customers and int","Transportasi, Logistik, Rantai Pasokan, dan Penyimpanan",Administratif,,2026-02-27,LinkedIn,https://id.linkedin.com/jobs/view/cs-document-staff-at-meratus-group-4361016367,2026-03-04 18:52:26
