job_title,company_name,location,job_type,experience_level,education_req,salary_range,job_requirements,job_responsibilities,industries,job_function,applicant_count,posted_date,source_platform,source_url,scraped_at
SOFTWARE QC STAFF,PT Tiga Berlian Mandiri (Tiberman),Wonokromo,,Asosiasi,,"Rentang gaji pokok Rp 2.800.000,00/bln - Rp 4.000.000,00/bln","Kualifikasi Pendidikan minimal D3/S1 (IT/Sistem Informasi/bidang terkait) Pengalaman minimal 3 tahun sebagai QC/QA Web Terbiasa menangani proses QC web end-to-end Memahami alur pengembangan web dan peran QC dalam tim Mampu melakukan review hasil kerja sebelum rilis Terbiasa berkoordinasi dengan developer dan stakeholder terkait Memiliki kemampuan analisis, komunikasi dan pengambilan keputusan yang baik Teliti, bertanggung jawab, dan memiliki Sense of ownership tinggi Bersedia bekerja dengan target dan deadline Lokasi Kerja: Surabaya Show more Show less","tanggung jawab, dan memiliki Sense of ownership tinggi Bersedia bekerja dengan target dan deadline Lokasi Kerja: Surabaya Show more Show less",Grosir Impor dan Ekspor,Jaminan Kualitas,,2026-03-04,LinkedIn,https://id.linkedin.com/jobs/view/software-qc-staff-at-pt-tiga-berlian-mandiri-tiberman-4380955790,2026-03-04 18:58:10
FINANCE STAFF,PT Tiga Berlian Mandiri (Tiberman),Wonokromo,,Asosiasi,,"Rentang gaji pokok Rp 2.800.000,00/bln - Rp 4.200.000,00/bln",Kualifikasi Pendidikan min. D-3/S-1 Jurusan Akuntansi/Keuangan/bidang terkait. Pengalaman kerja min. 2 tahun di bidang finance. Mahir menggunakan software keuangan atau ERP. Memiliki ketelitian tinggi dan kemampuan analitis yang baik. Mampu bekerja dalam tim dan memenuhi deadline dengan baik. Kemampuan komunikasi interpersonal yang baik. Lokasi Kerja: Head Office Surabaya Show more Show less,"Tiberman GROUP PT Tiga Berlian Mandiri merupakan perusahan importir ban alat berat, ban pertambangan, ban perkebunan, ban truk&bus yang berpusat di Surabaya, yang saat ini memiliki cabang di area Gresik, Mojokerto, Jabodetabek, Banjarmasin, Balikpapan, Kendari, Manado, Morowali, Ternate, dan Luwuk. WE ARE HIRING Posisi FINANCE STAFF Kualifikasi Pendidikan min. D-3/S-1 Jurusan Akuntansi/Keuangan/bidang terkait. Pengalaman kerja min. 2 tahun di bidang finance. Mahir menggunakan software keuangan a",Grosir Impor dan Ekspor,"Keuangan, Penjualan",,2026-03-04,LinkedIn,https://id.linkedin.com/jobs/view/finance-staff-at-pt-tiga-berlian-mandiri-tiberman-4380954746,2026-03-04 18:58:13
IT Staff,Hyde Padel,Surabaya,,Tingkat pemula,,Tidak Dicantumkan,"Qualifications Proficiency in Network Administration and Network Security Strong skills in Information Technology and Troubleshooting Excellent Customer Service abilities for resolving IT-related concerns Good organizational and problem-solving skills Ability to work collaboratively as part of a team Bachelor's degree in Information Technology, Computer Science, or a related field is preferred Previous experience in IT support or a network administration role is beneficial Show more Show less","Company Description Hyde Padel is a forward-thinking sports company dedicated to growing and professionalizing the sport of padel across Indonesia. We design, build, and manage premium padel courts; offer high-quality equipment and apparel; run structured training programs for all levels; and organize competitive tournaments that foster community and excellence. Driven by passion and precision, we’re on a mission to make padel accessible, exciting, and sustainable—transforming it from a trending",Tim dan Klub Olahraga,Teknologi Informasi,163,2026-02-27,LinkedIn,https://id.linkedin.com/jobs/view/it-staff-at-hyde-padel-4377643622,2026-03-04 18:58:17
Head of Vendor Management,Meratus Group,Surabaya dan Sekitarnya,,Direktur,,Tidak Dicantumkan,"Qualifications Educational Background: Bachelors degree in Logistics, Supply Chain Management, Business Administration, or a related field. A Masters degree or MBA is preferred. Professional Experience Minimum of 7-10 years of experience in vendor management within logistics or supply chain management. At least 3-5 years in a leadership role, demonstrating effective management of vendor relationships and performance. Hard Competencies (Technical) Proven expertise in vendor management, including vendor selection, performance evaluation, and contract negotiation. Strong background in cost management and financial analysis related to vendor operations. Proficiency with vendor management software and analytical tools to monitor and optimize vendor performance. Soft Competencies Excellent leade","Responsibilities Strategic Oversight: Oversee the comprehensive management of vendor relationships for the logistics function to ensure alignment with the organization's business goals. Drive initiatives to continuously improve vendor-related processes and overall service quality. Vendor Selection & Evaluation Manage the end-to-end vendor selection process, ensuring potential partners meet company standards and strategic requirements. Regularly evaluate vendor performance using key performance indicators (KPIs) to maintain high-quality service delivery. Performance Management Gather feedback from operational teams and conduct routine performance reviews to monitor vendor performance. Develop and implement performance improvement plans for underperforming vendors. Contract Management Lead t","Transportasi, Logistik, Rantai Pasokan, dan Penyimpanan","Manajemen, Manufaktur",81,2026-03-03,LinkedIn,https://id.linkedin.com/jobs/view/head-of-vendor-management-at-meratus-group-4380308838,2026-03-04 18:58:22
IT Software Engineer,Philip Morris International,Surabaya,,Tingkat pemula,,Tidak Dicantumkan,"requirements and user needs as well as maintaining, improving and providing technical support, and ensuring the smooth operation of all IT systems. Your ‘day To Day’ Write clean, efficient, and maintainable code for software applications Provide technical and troubleshooting support to stakeholders Test and debug code to ensure it meets quality standards and is free of defects together with IT QA engineer team Work with other developers, designers, and product managers to understand project requirements and deliver effective solutions Participate and involve in code reviews to ensure code quality and adherence to best practices Create and maintain technical documentation for code, APIs, and software processes Stay updated with the latest industry trends, technologies, and best practices to","BE A PART OF A REVOLUTIONARY CHANGE! At PMI, we’ve chosen to do something incredible. We’re totally transforming our business and building our future on one clear purpose – to deliver a smoke-free future. With huge change comes huge opportunity. So, wherever you join us, you’ll enjoy the freedom to dream up and deliver better, brighter solutions and the space to move your career forward in endlessly different directions. We are looking for an IT Software Engineer who will be based in Surabaya . ",Manufaktur,"Rekayasa, Teknologi Informasi",,2026-02-23,LinkedIn,https://id.linkedin.com/jobs/view/it-software-engineer-at-philip-morris-international-4376551456,2026-03-04 18:58:28
Business Development Assistant Manager - East Java,Ninja Xpress,Surabaya,,Tingkat pemula,,Tidak Dicantumkan,"Requirements Minimum 2-4 years of proven experience in a commercial/sales role in logistics industry. Target oriented, Achiever and Creative. Excellent understanding of Sales processes and actual selling High energy and positive attitude Familiarity with the East Java area is preferred. Submit a job application By applying to the job, you acknowledge that you have read, understood and agreed to our Privacy Policy Notice (the “Notice”) and consent to the collection, use and/or disclosure of your personal data by Ninja Logistics Pte Ltd (the “Company”) for the purposes set out in the Notice. In the event that your job application or personal data was received from any third party pursuant to the purposes set out in the Notice, you warrant that such third party has been duly authorised by you","Responsibilities Maintain and grow existing clients. Prospect and acquire new clients. Conduct cold calls and arrange sales meetings with potential clients. Identify decision-makers, assess client needs, and offer tailored solutions. Stay updated on industry trends to recommend service improvements. Manage key accounts, close deals, and maintain client relationships. Provide insights, market assessments, and collaborate with management. Track performance, analyze data, and prepare reports. Perform a minimum of 4 sales visits per day. Requirements Minimum 2-4 years of proven experience in a commercial/sales role in logistics industry. Target oriented, Achiever and Creative. Excellent understanding of Sales processes and actual selling High energy and positive attitude Familiarity with the E","Transportasi, Logistik, Rantai Pasokan, dan Penyimpanan","Pengembangan Bisnis, Penjualan",60,2026-02-12,LinkedIn,https://id.linkedin.com/jobs/view/business-development-assistant-manager-east-java-at-ninja-xpress-4371365585,2026-03-04 18:58:33
Head of Software [Multifinance],Michael Page,Surabaya,,Eksekutif,,Tidak Dicantumkan,"Lead end-to-end software for a growing digital finance company. Drive stability, performance, and quality across core applications. About Our Client Our client is a fast‑growing, Multinational multi‑finance institution known for its strong digital orientation and customer‑centric product ecosystem. With a nationwide presence and a commitment to innovation, the company continues to modernize its technology stack to support its expanding business. Job Description 15+ years of experience in softwar","Lead end-to-end software for a growing digital finance company. Drive stability, performance, and quality across core applications. About Our Client Our client is a fast‑growing, Multinational multi‑finance institution known for its strong digital orientation and customer‑centric product ecosystem. With a nationwide presence and a commitment to innovation, the company continues to modernize its technology stack to support its expanding business. Job Description 15+ years of experience in softwar","Jasa Keuangan, Akuntansi, Perbankan","Rekayasa, Teknologi Informasi",,2026-03-04,LinkedIn,https://id.linkedin.com/jobs/view/head-of-software-multifinance-at-michael-page-4379615510,2026-03-04 18:58:36
Service Associate- Front Office (Reception),Shangri-La Group,Surabaya,,Tingkat pemula,,Tidak Dicantumkan,"Shangri-La Surabaya ""To treat a stranger as one of our own"" characterizes the hospitality one can expect from Shangri-La. Discerning travelers will enjoy world-class service amidst tranquil surroundings, coupled with inspirational architecture and design. The finest dining experiences at every hotel and resort ensure that every palate is pampered, but what makes each stay truly memorable is something even more exquisite and rare - Shangri-La’s special kind of hospitality. Hospitality from the he","Shangri-La Surabaya ""To treat a stranger as one of our own"" characterizes the hospitality one can expect from Shangri-La. Discerning travelers will enjoy world-class service amidst tranquil surroundings, coupled with inspirational architecture and design. The finest dining experiences at every hotel and resort ensure that every palate is pampered, but what makes each stay truly memorable is something even more exquisite and rare - Shangri-La’s special kind of hospitality. Hospitality from the he","Pariwisata dan Perhotelan, Pengaturan Perjalanan, Jasa Penyedia Makanan dan Minuman","Manajemen, Layanan Pelanggan",,2026-02-11,LinkedIn,https://id.linkedin.com/jobs/view/service-associate-front-office-reception-at-shangri-la-group-4298700636,2026-03-04 18:58:41
UI/UX Designer,WidaTech,Surabaya,,Tingkat pemula,,"Rentang gaji pokok Rp 3.500.000,00/bln - Rp 3.500.001,00/bln","Requirements Memahami dasar UI/UX (hierarchy, spacing, readability, usability) Menguasai Figma sebagai tools utama desain MAU BELAJAR DAN BERKEMBANG Cepat memahami arahan dan konteks proyek Bekerja cepat, rapi, dan efisien Tidak terpaku pada satu gaya desain — mampu menyesuaikan brand Memiliki determinasi tinggi dan mindset berkembang Catatan Penting: Kandidat wajib mengikuti design test sebelum diterima Lingkungan kerja berorientasi hasil dan pembelajaran cepat Posisi ini cocok untuk individu yang ingin berkembang, bukan mencari zona nyaman Jika kamu adalah designer yang PINTAR, haus belajar, dan ingin berkembang di dunia software, kami ingin mengenalmu. Show more Show less","Responsibilities Kami mencari UI/UX Designer yang tidak hanya bisa mendesain, tetapi juga PINTAR, MAU BELAJAR, dan CEPAT MEMAHAMI HAL BARU . Kami menghargai individu yang memiliki dorongan kuat untuk berkembang dan mampu beradaptasi dalam lingkungan kerja yang TEMPONYA CEPAT DAN DINAMIS . Posisi ini berfokus pada desain aplikasi software dan website, dengan penekanan pada efisiensi, kecepatan belajar, dan cara berpikir. Responsibilities: Mendesain tampilan UI/UX untuk aplikasi software dan website Menerjemahkan brief menjadi desain yang jelas dan terstruktur Menyesuaikan desain dengan karakter dan vibe setiap brand Melakukan revisi cepat berdasarkan feedback Berkolaborasi dengan tim untuk memastikan desain dapat diimplementasikan dengan baik Requirements Memahami dasar UI/UX (hierarchy, sp",Jasa TI dan Konsultan TI,"Desain, Seni/Kreatif, Teknologi Informasi",100,2026-02-14,LinkedIn,https://id.linkedin.com/jobs/view/ui-ux-designer-at-widatech-4372081384,2026-03-04 18:58:46
CREATIVE CONTENT - AARON,PT. Aaron Innovation Indonesia,Gresik,,Asosiasi,,Tidak Dicantumkan,"Mengembangkan konsep dan ide kreatif untuk konten yang relevan dengan produk. Membuat konten menarik dalam berbagai format yang sesuai dengan tren terbaru di platfom media sosial. Kolaborasi dengan tim marketing untuk menyusun strategi konten yang selaras dengan branding perusahaan. Mempertahankan brand identity dengan visual dan voice tone yang sesuai. Editing dan produksi konten dengan software kreatif (Adobe Creative, CapCut, dll). Membuat content plan dan optimalisasi kualitas konten. Mencob","Mengembangkan konsep dan ide kreatif untuk konten yang relevan dengan produk. Membuat konten menarik dalam berbagai format yang sesuai dengan tren terbaru di platfom media sosial. Kolaborasi dengan tim marketing untuk menyusun strategi konten yang selaras dengan branding perusahaan. Mempertahankan brand identity dengan visual dan voice tone yang sesuai. Editing dan produksi konten dengan software kreatif (Adobe Creative, CapCut, dll). Membuat content plan dan optimalisasi kualitas konten. Mencob",Layanan Profesional,"Pemasaran, Penjualan",57,2026-02-11,LinkedIn,https://id.linkedin.com/jobs/view/creative-content-aaron-at-pt-aaron-innovation-indonesia-4363174980,2026-03-04 18:58:50
